Address,Building,Organization
恒逸苎萝路,,西摩果园
创业新村社区,,市北公寓一栋
萧山高职园区,,浙江兆丰机电股份有限公司
双岗官美厦,,名雪服饰股份有限公司
二楼一区,,潇洒美发连锁
花和小城,,娱晨童装
沿江北路,,西山隧道旁联华社区卫生服务站
官桥滘,,宝贝造型记收
萧山高桥路与,,集美印染公司
武联村,,鞋业有限公司
青龙路,,杭州公兴药房
三星羽绒,,组丹尼花边厂前
萧山百尺楼,,江东4路广汽吉奥厂家
清六北路,,坎山八大村鑫福纺织
萧山农业大厦,,天宝汽配件有限公司
情景路,,盛缘轩
联丰新村,,煤炭科学研究总院杭州环保研究院
新誉街,,钱江幼儿园
区三新村,,中国移动湘湖指定专营店
新建村,,浙江同济科技技术学院
南兴路,,放丰巢或者楼上消防栓）
清河园,,桃花坞村口
明华郡乐苑,,南岸明珠
西许村西许,,亚太机电股份有限公司
伟五路,,后新庙新益南桥
党山后梅林,,在梦之缘足浴旁边
任伯年,,（靖江中心幼儿园
振兴南路,,杭州云冰制冷设备有限公司
、东瑞四路,,南方粘扣有限公司
（桥北路,,中国工商银行
委会新农村,,杭州久润实业有限公司
新塘畈里童,,钱塘江石材市场中心二期
萧山经济术开发区,,路丰衡机电有限公司工程部
高新技术园,,首尔首尔
，孔家里,,（农行后）
后管弄,,汇丽印染整理有限公司
涝湖村润,,巧克力广场藤野理发店
与新一路,,杭州易维特电器有限公司
莲湖路,,亿邦钢构
曹家桥杨二房,,依宇手机大卖场
傅家自然村,,运西村三益线与青六线交汇处向东
月明路,,湘湖壹号翠湖苑
浦阳新,,瓜沥派出所户籍室
新塘街,,副食品市场北二区
花边世界,,长联农贸市场长联水果店；（龙嘎网吧隔壁）
萧山，,,开元纺织
东关路,,杭州爱心大药房连锁有限公司
宏兴路,,（电话不通打
、河东路,,靖江镇第一小学
牛脚湾小区,,绿都世贸广场六楼唯瑜伽菲尼斯健身中心
坎山东社村,,溢佳店
八工段闸东,,卡狄尔墙布公司
经由村,,新塘跨境电子商务园
（梅仙村,,林芬纺织有限公司
三仙桥,,新林周村委边上衙前路
夹灶新村,,道临江村新峰
杭州时代大道,,浙江康盛汽车销售服务有限公司
武侯区,,第一中等职业学校
荣星社区,,信谊控股公司
山市心中路,,西门杭州朗润纺织有限公司
马潭路,,泥桥头新桥
金家浜东陈,,店对面好友多超市隔壁
小城家园,,茅潭江生态渔庄
枫一展宏路,,大江东梅林顾家家具有限公司
八甲山,,（杭州英冠华美达广场酒店）
佳境天城,,红十五线尽头东南新材料有限公司
村门牌号,,中港电商园
新农都水产区,,速尔快递不到拒收到付件
块高新八路,,钱江供电所
瓜沥东路,,镇龙殿村飞翔纺织机械有限公司
党山,,精工铝业
福建省,,杭州雄进贸易有限公司
。友谊路,,（利达机械
市北社区,,米小王汽车服务
技术开发区,,杭州海欣海绵有限公司
北桥东,,钱塘江石材市场一期
道开发区,,麦香园蛋糕店
锦鸿院,,中纺城江湾绿苑
戚枫路,,新发村盛利化工有限公司
舟萧桥,,杭州敦达建材有限公司
传化科技大厦,,红馆壹号国际娱乐
萧山水务,,杭州萧山供水有限公司
谢家开发区,,有货期务必旺旺或电话联系本人）
衙前街,,好灶头土菜馆
委大楼,,咔淘基地
高级中学,,智邦玩具厂
繆家村桥东,,车福汇
党山川北路,,万兴减速机场宿舍楼阿斯莫
码头辅道北,,杭州喜盛缘
村委往西,,永志通讯
北干凯悦,,通运鞋业
德意电器德意电器萧山开发区,,萧山供电局计量二班
新所前镇,,钱江世纪城丽晶国际一号楼
杭州江东经济开发区,,天连锁酒店杭州萧山机场店
松之果,,楼塔镇楼塔大桥下溪滩新区
明朗新村区,,萧越印染厂
东潘南路,,三江花园春江苑一幢二单元
坎山荣新村孔家路,,浙江大地钢结构有限公司
工业功能区,,杭州粒能新材料科技有限公司（原永正轴承厂
，新塘大通路,,磐石房产
红山农场红泰六路,,谷帅服饰
许自然村,,南阳第一幼儿园
西许村东,,，浙科电子
印刷厂,,乐荣公司
大江东工业园区,,慈善总会
开元加洲,,社区永翔公寓
。杭州市,,（浙江师范大学萧山校区）
泉塘村,,部队铭球机械厂
阳光小区,,新建冠豪车业厂房
坎山民丰河村,,百美国际
左山街,,中国人寿萧山支公司
路春曹路,,党山片大池溇村长南桥圣诚
精诚科技,,一都孙村新峰羽毛有限公司
苏黎士小镇,,道安鑫假日酒店三楼魔悦
湘湖景区,,鼎隆地产
水街排屋,,杭州华春汽车活塞有限公司
，竹园路,,杭州新晨颜料有限公司
环城东路,,新世纪建材市场
党山明秀苑,,白鹿塘杭州之江有机硅化工有限公司
张家坂,,童盟大楼
临浦前孔,,杭州萧山第六建筑工程有限公司
梅里上村,,【金嘉力大酒店
民众镇,,陈家园村利达机械有限公司
前方路,,飞珍足浴
红垦农场垦辉,,杭州明远纺织有限公司
河南王新村,,汇宇棉纱市场
头蓬社区,,加州阳光小区北门
阜沙工业园,,杭州嘉翔高强螺栓有限公司
宜春市,,金芒果
闻堰五金路,,网仓科技有限公司
新塘霞江,,，涝湖村委会
，大江东产业，,,杭州前进锻造有限公司
塘下金,,萧山高教园区浙江师范大学
河庄街村,,佳境天城境合苑
梅里桥头,,杭州萧东机动车驾驶员培训有限公司
知稼院,,美之园西区南桦院
福安市,,金陵花园
永盛北路,,迪通手机店维修处
康大博,,萧山闻堰长安村瑛珠桥
大花坛,,欣良仓储（1务必附上
富家埭,,首尔摄影基地
芝兰新农村,,杭州高运混凝土有限公司
沙里吴村九组,,永昌锦纶有限公司
爱果摄,,美丽人生美发店
金芒果,,（南鼎汽修院
东坑大道,,理赔管理处
萧山河浜路,,瓜沥收费站
学校地址,,新塘卫生院
板桥村,,金峰纺织有限公司
农场军民路,,开发区小商品市场
大城名座,,（钢材市场
湘湖省军区,,农业大厦
北干一苑与,,誉品餐饮培训
北环路,,杭州凤谊纺织有限公司
闻堰路,,，浙江同济科技职业学院
罗丰路,,杭州萧山北干金惠路国泰花园
宏迪路,,萧山公安分局
义蓬益民,,，体育中心综合馆前台
科技园区,,宝盛集团
一方厦,,（白浪村牌子往北
百事快递,,杭州保税物流中心
江湾城,,临浦一小
汤山自然村,,中新集团
水埠村,,河上派出所户籍室
道前进镇,,。浙江美丝邦化纤有限公司外贸部
休博园内,,蓝天制衣
红绿灯,,楼顺丰仓库
鸿心路,,（请在
东风社区,,小时内操作退货，平邮和到付件拒收，务必随包裹写明旺旺
董家埭村,,以及订单编号
东庄周村,,社区卫生院
水城,,四季花城丝雨九龙发艺
小区,,机关幼儿园
和宁东路,,太虚湖假期酒店员工宿舍
第二工业区,,岩山村上岩下
树安大道,,奥伯尼工程纺织品杭州有限公司
崇华路,,惠聚御三甄专卖店
党山博杰,,（华联超市
星园地带,,闻堰三江花园富春苑
浙杭州市,,浙江吉利汽车研究院
高级技工学校,,江南小学（宁围镇第三小学）
十七组,,曼陀罗石材有限公司
竹林寺,,超华线业有限公司
东许村,,中栋国际销售展示中心
伟民新区,,长谭桥前篮球场
夏家浜,,赛峰电子（九玖机电
洪梅镇,,浙江美丝邦化纤有限公司
下戴片,,中国网商城
文家坞,,（朝阳中心桥南
湘湖林语公寓,,都市阳光小区
迳联工业区,,浙江省水利水电干部学校
济开发区,,祥和驾校旁边的汇泉玻璃厂
新盛村十三组,,桥杭州杭新印花整理有限公司
新石门村,,萧山高教园建设学院
海日堂,,长安福特汽车有限公司
屠家隶,,劳利工具厂
东兴浦路,,杭州萧山百合五金厂
一排二栋,,科曼萨建设机械
衙南路,,原野五金汽配市场
济南市,,圆通速递转运中心
北路,,时代大道湘湖人家中鼎苑
丰二路,,萧山一页
吉阳区临春,,好友食品厂内雀鼎麻将机厂
）萧山经济技术开发区,,北天鹅厂区内
篮球场,,戈雅公寓府尚别墅
振宁社区,,新华联超市
树田树安,,申通总公司上海客服部前台投诉
江南名城,,创慧园酒店
兴议园区,,叠佳服饰
长山杭塑弄,,河庄初级中学
姚江岸家园，,,萧山北干一苑
山下村,,（杭州浩工五金工具有限公司
阜沙镇,,荣乐公寓
屠家埭村,,拒收到付、平邮、百世汇通快递，保证不影响二次销售签收后
王家埠头,,科尔集团北门
山厦村,,月子足浴。
建设北小区,,中国人民银行萧山支行
文体中心,,钱江工业包装
墩郎张村,,杭州萧山临浦肉类加工有限公司
东槽村,,中国移动营业厅
，晨辉路,,萧山车辆管理所
党山八里橋村,,吉顺中式快餐店
席家天域,,杭州铭球机械有限公司
长山海塘路,,油车桥汇硕塑料
，坎山镇,,浙江珍诚医药在线股份有限公司
宁国镇,,萧山国际机场航空货运
曹三佳,,钱氏农业公司（金临湖村桥南
福围工业区,,区土菜馆旁边小屋
同兴二路,,万科海上明月售楼处
大治桥,,农贸市场龙之心电脑
南江沿村,,总金额尽量不要发韵达）
（后坛,,层侨治发型
）民湘路,,明光副食品超市
回澜初中,,交叉口绿都世贸写字楼三楼
，新林周,,，投资监督部
，南城景园,,甘其食
中新雍景湾,,全友家居前台
，纬二路,,杭州天元绦纶有限公司
瓜沥红友桥,,同济科技职业学院工程造价
南片）,,卡洛尼移门
绩西田七,,萧山第八高级中学
肇荣一街,,丽晶国际中心
上岸蒋,,农村食品安全示范店
黄粘洲,,娇娇猫童装厂
杭卅市,,卫科技有限公司
坎山片沿塘村,,太平洋贸易集团公司
市瓜沥镇,,（绱缤烟酒）
勤俭弄,,杭州赛富特设备有限公司
塘头徐路,,（请放在新益佳超市）
和通惠路,,电联工程技术股份有限公司
兴仪村,,金临湖村大统纺织有限公司
东藩小区,,宁鑫轴承厂内陕汽重卡
付娄村,,澳门豆捞旁
东籓南路,,北侧达利
悦湾,,领秀美容美发
临浦东,,张亮桥菜市场农友超市
江西省,,萧山华数数字电视有限公司
鑫福浦园,,萧山广播电视台
丰瑞南苑,,金风社区金色钱塘
下定新村,,路莫家港村对面原和平桥菜市场院内宏达运输公司
大江东义,,杭州市第二机械技工学校
聚业路,,，恒逸南岸明珠
商成南路,,星云地带一号楼
设二路,,高教园芭莎理发店
元沙工业园,,楼耀圣建设
长山直街,,明德学校
，临江街道,,村民委员会
箫绍路,,巴黎婚纱
与丰乐路,,新安园
临江佳园,,党山中学
阿迪达斯,,金临湖村渔临关
市新中路,,室需要本人签收
上冲塑业,,钱江世纪城丰北二苑
复兴南路,,印染二分厂
碧湖花园,,传化集团公寓
，萧绍路,,中信银行
城厢苏家谭,,不接收到付和平邮
明怡花苑明星路,,东风裕隆宿舍
紫霞村强农,,山联村渔家埭依瑶副食品店旁边的这户挂着灯笼的
奥兰多,,）公共卫生科
金蕙路,,和声科技有限公司
西大门,,（原野汽配街高铁架下）申通隔壁
五区碧苑新村,,（必须由本人签收，公司前台签收，找不到后果自负）
道大江东区,,浙江民营企业
自由孔,,杭州之江新材料有限公司
保税大道,,富士迪装饰材料有限公司
光明工业区,,杭州中环化工设备有限公司
颐高数码广场,,法意教育
头蓬仓,,东方名剪理发店
长青路,,开元名都家居广场西区三楼（铭品装饰）
永盛家园,,闻堰南岸花城枫江苑
老街北弄,,卫生服务站斜对角官一村菜鸟驿站
中国浙江,,（服装厂
中元街,,苹果店
进化工业区,,与萧棉路交叉口天润中心售楼处（毛主席石像旁
，萧然西路,,成瑞酒店旁粤菜馆
党山菜市场,,八甲山杭州福特宝鞋业有限公司
快鸿兴路,,得力半岛花园
恒瑞名座,,华成鞋业门卫
）宁围镇,,新青年排练厅
菜鸟驿站,,路口附近）易东机电
霞江民工公寓楼,,塘里陈综合大楼逸轩茗茶，
慈溪市,,杭州彩旺线带厂
涌口村,,特殊教育学校
盈兴公寓,,杭州萧山新盾汽车修理有限公司
復兴村朱村桥,,山河村凌家坞炮塘
时代广场,,金域兰庭
宁围一小,,坎山八大村村委边
左东家苑,,杭齿技校
道三丰村,,第三中等职业学校
山东省,,萧山机场国航浙江分公司
南沙新富村,,永彰汽车电子
合丰商务楼,,第六高级中学
红山农场义横南路,,群联村一组畈里汪
萧绍富,,（洪硕手机店
渔临关村,,大众饭店
（冗里）村,,龙之心电脑
春光桥,,建材市场
渔家功,,门卫室
裕元工业区,,天生堂医药连锁宁牧店
村七组,,侨治发型
群围村村委西,,天瑞印染厂
金峰六路,,萧山国际机场东大门永盛路顺丰基地
顿科技园,,起点发型理发店
所前张亮桥,,第三排第五家
嘉富广場,,荣德机械
桥南,,米长乐养老院
区纬二路,,万达中路摩卡商务馆
。北塘东路,,恩斯克万达有限公司
中心街,,，银河商务中心
，新围横街,,萧山支行
萧山新安村,,丝雨久龙美容美发店
花园街,,联谊村曹家沿世纪华联超市
党山中沙村,,中国移动
坎山荣新村,,顺坝村众安景海湾小区
，八大村,,理发店
木桥头,,爱克斯精密钢球有限公司
杭州乐园湘湖路,,新涵美家居有限公司
崖城镇,,松冈机电中国有限公司
古越路,,浦阳初中
庵东镇,,临江人民医院
中国，,,元素酒店
联新村,,大桥南宏达装饰布织造有限公司
六号厂房,,卡斯马星乔瑞工厂
蓝坊镇,,萧山电大经济教研室（
苎箩东路,,派登洋服有限公司
（萧山经济技术开发区,,杭州顺达市政工程有限公司
坂哩曈,,众安·国泰花园
东梅林大道,,杭州查格洛顿机械科技有限公司
酷街舞,,曼卡龙
义蓬二中,,（楼上绿源棋牌）
雷东新农村,,宋都丽郡国际售楼处
东泰花园,,三峰村周家湖新益佳超市
道三丰村六组,,国都公寓四幢底层）7天无理由拒收平邮
东联工业区,,杭州聚宸鑫电子科技有限公司
【振宁路,,北侧达利（中国）有限公司
顺发恒园,,（佳轩物流
●新华村,,（跨境贸易电子商务服务区
尖山（蓬,,华华实业有限公司
党山翔盛纺,,米那家小院
牌工业园区,,宇隆纺织八楼第三间
印染厂,,德意空港花苑
靖江杰,,维芯电脑
，翔盛集团,,老年大学
富康路,,幸福时代
下畈底村,,東莞市虎門鎮赤崗富馬工業園，點買貨運中轉站朱
巴黎春,,国盛钢结构有限公司
湘妃国际,,万隆光电设备股份有限公司
天三座,,新民学校
祝家村泗洲,,基蒂美容美发
射潮路,,，门牌号
雄关区建设,,兴农纺织有限公司
萧山广播电视台，道源路,,红垦农场萧山看守所（红十五线旁
新村席家,,杭州恒杰纸制品厂
区人民政府,,妙通羽绒制品
，金惠路,,第三中等职业技术学院西门小快星驿站
纺织工业园区,,污水处理有限公司
井泉街,,花木城边杭金衢高速萧山东收费所
内绿荫路,,，浦阳江流域管理处
知章社区,,茗怡纺织
育秀苑,,萧山机电职业高级中学
下朗工业大道,,航民百泰手饰有限公司
新街陈,,杭州福恩纺织有限公司
楼下陈,,钱江世纪城佳境天城人合苑
金鸡岭路,,临浦肉类加工有限公司
米铁塔旁,,汇德隆家电商场
大马路,,戈雅公寓
上角管理区,,浙江新中纺实业有限公司
新居路,,胖丁收（拒收到付和平邮
义桥湘,,第一小学传达室
城南一路,,杭州萧然医药有限公司
逸湖半岛,,杭州汉盛科技有限公司
大石盖村桥东,,五联菜市场
萧山义蓬镇,,新康家往东
五菱,,萧山区蓝天幼儿园
之园美林,,俊昊轴承
司法局,,萧山国土分局
万向中,,城中花园
勤里村里陈,,友成模具园二工厂
高教院区,,零点纺织
（原坎山镇,,曹坞村下曹坞杭州阿凯农业有限公司
桥南鸿宁路高薪,,太平洋钢结构有限公司
设备维修组,,前兴村红太阳超市
后梅林,,务必本人签收
，三联村,,景昊服饰
萧山绍东路,,金地天逸小区五幢二单元
前孔社区,,中亚铝材店
头蓬农贸路,,闻堰中心幼儿园
新围医院东,,社区创先彩印包装有限公司
半山村丁村,,文源社区小贵鸭头
第三路,,欧菲雅壁纸
幢会馆,,社区五区八幢
开元路,,萧山第二人民医院妇产科
下门村白堰,,（益农卫生院
腾飞路,,捷峰源化纤有限公司
〔湘南村,,巡特警大队。
蜀山l路,,钱塘江南岸夏风园戈雅公寓夏风园
通慧南路,,浙江万达汽车方向机股份有限公司
青风亭,,杭州博简
龙门路,,萧山十中数学组（萧山蜀山路
东麓池油车弄,,千百度理发店
周峰绣品,,杭州敏邦实业
双闸路,,杭州雪尔电器有限公司
章家滨,,浙江创元装饰工程有限公司
第一职高,,（新办事中心旁南和城商务
靖江初中,,办公区
赭山坞里村,,萧山孙娟兰诊所
总公司,,以上可能会被限制购买）请写上
靖江花神庙社区,,杭州宠宝日用化工厂
四沙新茂,,金马金致酒店前台收
灯具市场,,京徽名苑物业处
幢商铺,,部队杭州仁源汽配有限公司
，河庄镇,,東莞市石碣鎮梁家村育賢路興發工業園
、埠头周,,乡镇府西景悦家苑
（门牌号,,米利二花苑
順坝村,,鼎丹丰家具有限公司
桥头黄,,杭州博泽建材有限公司
湘湖渔村,,检科院
邮电二路,,不二家食品有限公司
照片经济技术开发区,,宏伟油厂
（市心南路,,（瞿氏祠堂旁的篮球场
通慧中路,,（创业桥西面第二户
南永桥,,平和英语假日之星员工宿舍
义桥工业园,,（杭齿厂
金山社区,,鲁公桥社区城南公交站
金钟顺景,,（浙江同济科技职业学院
景绣路,,世纪风鞋服超市
万向城市花园,,美之园红枫苑
育才社区,,万达中路新亭子饭店
大泥村,,东端萧山科技城内传化科创大厦
农二场,,（市政路交叉处）望京
畈里汪,,华润雪花啤酒浙江股份有限公司
金风社区,,通源别克
新街新东名苑,,萧山特殊康复中心
油树下区,,超世界机动车市场平安银行杭州萧东支行
、同心村,,科曼萨建机有限公司
行政中心,,东方一品
增步卢屋,,建材市场六栋十三号绅波院
楼塔镇下蒋,,人民政府湘湖路
苑东大,,镇政府西侧春红足浴
门店铺,,凯丽晶座英菲尼迪前台
区一幢,,梅林服装厂
欢潭工业园区,,新塘琴山下幼儿园
二幢临浦镇,,鼎盛行汽车美容会所
韩戴和睦路,,众安村国金纺织厂
联兴路,,【院内左边货梯上去
高安市,,，开氏集团天元涤纶有限公司
和江东大道,,（下戴）广和机械
前进新峰村,,灯廊张海波纺织厂
盛乐村三组,,杭州为公精密机械有限公司
萬和國際,,室盈湖有限公司摄影部
王门桥,,战纪服饰公司
浴美路,,饭米粒宾馆
宁安社区,,，坎山塘上街
高架路,,天虹对面金手指推拿店
巿心中路,,室擅自放物业不收
辽大食品,,南路华丰巨箭前
坂里童社区,,中石化仓库。吴明杰
茅山头村,,萧山电力承装公司
赤岭路,,大路张世纪华联超市
益农大转盘,,大路张公交站旁
赭东家苑第,,杭州英冠华美达广场酒店
杭州麦,,杭州传化精细化工有限公司
和市心南路,,杭州赛方传动部件有限公司
二十组,,统一省超市
虎门大道,,新林周村衙前大酒店
道桥东,,室绍兴新凯建筑工程装饰有限公司
中国花木城二期,,博怡专业造型
利围村九组,,杭州雅马哈乐器有限公司钢琴部涂装课小物班
厂西二棉路,,绿都泰富公寓
三庄村,,杭州全顺纺织有限公司
麻车倪,,（中）
大元路,,杭州前进重型机械有限公司
广谊路,,行政中心机关文印中心
医院桥南院区（,,隆光电设备有限公司
十三幢,,杭州毛毛雨电器有限公司
，于青,,萧山第二人民医院一病区
六沙村,,苗夫控股
东一街,,长山卫生院
五星组,,萧山湖滨花园浅水湾
高桥住宅,,周青超市
新湾梅林大道,,中新电力汽修分公司门卫处
万安工业园区,,红利食品厂
韩戴村,,东湘汽修一楼办公室
沙腰工業區永興路,,桂宝科技）2号电梯
舟山部队,,室圆滚滚大码男装售后部
御东湾,,北侧钱江农场达利有限公司
贤和堂,,联三村百强大厦正德堂药房
桥头王,,商铺利祥超市
路娄下陈,,浙江金迪门业有限公司
倾城造型,,衣品会综合楼
中坑村,,萧山医院口腔科
边上新农都,,长山闸口中裕花边分公司院内左转罗蒙四楼克伦思依蔓有限公司
临江朱家塔村,,利富高塑料制品厂
义蓬镇义蓬,,浙江华越家具工业有限公司
北端宁围镇,,联科电脑
南门,,新湾花木城世纪华联旁奶茶店
万向小学,,，艺彩化工附近
（宁围镇,,，浙师大萧山校区，女生公寓
东山吴,,紧商科技股份有限公司
区井头王公寓,,浙江中国花木城
金峰,,店（杭州南宋官窑研究所
蜀山派出所,,慧康服饰
，霞江村,,汽车市场东侧，晋亿螺丝
姚家潭,,杭州科曼萨杰牌建设机械有限公司
光明路,,杭州三志紧固件轴承有限公司
新林周东南,,杭州金石五金有限公司采购部
保利·,,育才西苑实验幼儿园正对面三心健康体验馆
霞飞郡,,美诺思明通塑胶科技
车站弄,,之江加油站
靖江老街,,渔庄村捷杭汽车用品有限公司
安澜路,,（钢筋店旁
新农二组,,（安诚财产保险股份有限公司萧山支公司
天涯镇,,澳门豆捞没人接打
占家埭,,杭州申通快递中转部（华莺新厂
阮家埭,,萧山大园医院
东河,,保税大道靖港县路口东北角中铁物流项目部
金家弄,,宏恩化纤
坎山甘露亭,,名州假日
奔竟路与,,（世纪华联往东
文里头,,综合开拓办公室
营业房,,坎山镇政府
坎山新凉亭,,汪家塘村新江桥肯莱特鞋业
塘头社区,,街道電子科技大學中山學院
蜀山社区,,（绿都玫瑰苑）
旺角新天地,,松翔混凝土有限公司
红山农场垦辉,,新塘派出所
道江东工业园,,变电所
和丰乐路,,杭州尚谷纺织品有限公司
通汇南路,,龙发花园寄存柜
永诚路,,（中国银行西面）。杭州明达摩配附件厂
道风情大道,,第二人民医院病区药房
绿都百端,,、杭州雅马哈乐器有限公司
金河三路,,义蓬向阳幼儿园
利华奥迪路,,萧山公安分局指挥中心
鱼青山,,二楼禾动漫少儿美术
黄泥塘,,红垦农场垦辉六路重汽嘉泽苑
之园北榆,,（西门农贸市场
建二路,,公路管理处
东阳桥公寓,,（星期六鞋城旁麻辣烫）
新东,,。依洁实业有限公司
景新园,,高运学林尚苑
（南环路,,众安·隐龙湾众安隐龙湾
恒逸集团,,村委会斜对面金塘汽配院内二楼服装厂
海裳路,,杭州萧山七诚商务酒店
（周家）,,俞建口腔诊所
新湾路,,杭州创建机械制造有限公司
吟龙社区,,幢利祥超市
丁村,,（机场高乔客房后面
下山俞村,,（龙凤雨衣厂
邵家塔,,东方文化园俐生美集团（打电话说下）
（河庄大道,,杭州乐荣精密组件有限公司
兴围村三组,,好易购物流中心
花城名苑西区,,陕汽重卡北
邮政大楼,,恒远国际财富中心
渔家滨,,九方培训学校
湘湖宾馆,,耐乐科技
道江东二路,,（同济科技职业学院
新湾商贸城,,利和国际公馆
杭州双莎,,乐家居安装生活馆
平澜路,,杭州昂瑞阻燃科技有限公司
浦南陈家塘,,中心幼儿园南城分园
湖头陈社区,,，君临医院
新菜市场,,常杭五金产
新中村,,杭州精固计量物资有限公司
金美村,,（时代云裳）
江东大院,,汉帛国际仓库
里江路,,飞鸿家纺有限公司
园五路党山,,杭州雅马哈乐器有限公司钢琴部品
临江高新区,,萧山农村商业银行新街支行
，萧山经济开发区,,萧山花木城一期
夏家埭,,（楼塔好又多超市
朱家蓬,,城投集团（原杭二棉厂区）
新塘科创园,,杭州婉饰琳家纺
钱江科技园,,金品男鞋仓
青六公路,,三亚学院
观音桥,,尚誉名筑
共和村一组,,东恩村老年活动室
市市心北路,,高运新惠名苑
於家溇路,,萧山国际机场海关大楼
海景路,,城管执法局法制科
榆亚路,,中国燃气（农村合作银行
老年房,,尚研机械有限公司（原信谊控股）
大江东经济开发区,,传化集团党群办
金岭社区,,罗慕村后黄家联超市
山里王新农村,,浦发银行二楼风险管理部
长岭南路,,街道五桂山长命水工业园中山市读书郎电子有限公司五楼销售部
家埭社区,,义蓬购物中心北大门一楼燕岭假日酒店
天汇园一幢,,社区三组七幢六号
销售部,,喜加乐商务酒店
大西畈,,，天翼大卖场
小河区,,旅游学院美食街新时沏奶茶店
航天园社区,,杭州斯达利工具有限公司
杭州道,,，（杭州东周增茂网络技术有限公司
远化纤集团,,楼家塔村三个亭子向前
义一新农村,,格润宾馆
益龙桥,,杭州方翔羽绒制品有限公司财务科
下甫王,,大和机械园内红色办公楼
，河上镇,,、东峰桥梵隆方向盘有限公司
，伟民村,,七里店村姜家坞邮政服务站
五一北路,,民丰村新阿长饭店
金蜂小区六路,,路口天海阳光地带
杨时路,,萧山汇宇家私市场
（江东一路,,久盛地板店
道前进一小,,绿都百瑞广场绿都百瑞
（教工路,,飞龙印铁制罐厂
第一工业区,,菜市场桥南兄弟川菜馆
卫生室,,伟润服装有限公司
三中村,,浙江邦翔化纤有限公司
金龙路,,新概念房产
远大红山嘉宛,,东庄王公交车站对面小商店
利华奥迪,,金帝高新科技广场三号楼东单元
围垦外六工段,,杭州萧山王氏雨具有限公司
火车南站通货路,,新农水产隆盛水产
，利一路,,邬氏推拿
泉塘龙泉路,,钱江世纪城顺丰家园
南阳横蓬村,,、王汶汶收
赤岗村,,宁围初中
长南桥南,,（博诚电脑）
三中谢坑,,宏达手机店
金龙工业区,,第一世界大酒店平和英语公交站假日之星员工宿舍
金源路,,科尔南城景园
路春潮路,,蓝柯服饰
后坛村,,丰树物流
车家埭区,,天宝伞厂
东复工业园区,,金丰通讯
新街镇工业园区,,房地产管理处
东南网架,,下村新益佳超市
长凤路,,（萧山三中）新疆部
长联村四联,,杭州萧山万兴旅游汽车有限公司
沈村,,子航家具有限公司（朝阳彩印园区内）
义胜街道,,时代大道绿都金域三江
花木城二期,,组六里桥旁
畈里童村,,萧山新安园十一栋一单元
坎山路圆通,,中国银行桥南支行戚丽君收
区闻堰镇,,萧山高教园旅院旁亿香园餐厅
湖园三路,,，畅朗照明
与纬五路,,三士镜业
畈里洋,,部队利群路杭州仁源汽配有限公司
陈乡镇,,正明快修旁的利江水泥直销处
莱茵园,,，子轩教育
瓜沥临港工业区,,雀鼎麻将机厂
春水路,,顾吉超
之园南桦,,临浦农行
勇建村,,（请务必用纸条写上您的淘宝帐号、订单编号和手机号码。拒收平邮和到付的
新林周淑敏,,萧山交通银行
新弯镇,,梅和名府
（所前中路,,米龙奥房地产旁
杭塑弄,,．杭州萧山瓜沥镇渭水桥临港化纤厂宿舍
义桥渔,,组小高沙发【原天鹰布业】
浦小学,,门口新益佳超市
农垦场伟五路,,。泥娃娃
萧钱线,,萧山商业城服装市场百姓鞋店
（民和路,,第一人民医院放射科
家公寓,,交叉口德胜农贸市场
风情村,,民政局
宁新小区,,章潘桥村杭州地铁蜀山综合维修基地
环新路,,坎山小学（八柯线群谊村
楼英村林场,,红十五线到底东南新材料杭州有限公司
万象路,,杭州星乔瑞零部件有限公司
看守所,,春晖学校
。金城路,,萧山钱江农场钱农
蒲阳镇,,道中国移动塔旁边雀晨实业
小下潦社区,,花边市场内晶华饰品
八都村,,世纪二手车市场学磊车行
佳境社区,,三南富村展华实业有限公司
设工地,,、开元旅业市北后勤基地
塘新三弄,,原东社村老村委
富家塔,,吉华集团高分子
潇湘社区,,桑园社区狮龙路莞城科技园侧门（德邦物流
萧新塘街道,,（江湾城南大门）
红山农场红泰五路,,街道火炬职业技术学院
前王十号,,，火星幼儿园往南第一个十字路口
道与江东六路,,杭州萧山东方一品
村路平,,（杭州依超卫浴有限公司）原党山镇
新马路,,与崇化路的交叉口恒安名座
振华村,,瓜沥镇航民七车间）
杭州欧,,沪宁超市旁重庆麻辣烫店
先锋河西路,,萧山国泰宾馆财务科
塘坞村,,五组十五号
雷山安置区,,萧山万兴旅游汽车有限公司
新湾闸口路,,皇室金足
红泰五路,,星河景庭公寓公众房网
横石板,,杭州青松印染有限公司
中街,,高新材料有限公司纺丝部
於家楼路,,下门村汽车修理厂
盛陵路,,汇德隆食品超市斜对面鱼乡人家
江干区,,章潘桥村犁头金杭州千里马纺织有限公司
清河园内街,,杭州赛纺复合面料有限公司
东方海,,（农夫与海）
桥亭村,,（城东钢材市场）杭州得广实业有限公司
远西村,,伊伽养颜馆
）瓜沥镇,,中管理组
坎山建盈村,,苏黎士小镇提香
吉阳区,,东藩小学二年级办
女装园虹迪路,,大同小学
山义桥镇,,靖江卫生
宁牧村四组,,小昌小店
众联村联合,,文刚汽修
农业银行,,第一水厂
丰瑞北苑,,社区假日酒店
坦背西,,杭州萧山吉祥装饰提花布厂
